timestamp, current1, current2, current3, current4, accelx, accely, accelz, degrees x, degrees y, degrees z, baro temp, baro pressure
140291113, 0.113921, 0.0480908, 0.190518, 0.701982, -0.166354, 7.98744, -6.44867, -0.549316, 0.274658, 0.213623, 0, 0
140291123, 0.113511, 0.0480908, 0.190518, 0.701982, -0.0758379, 7.98744, -6.54408, -0.183105, -0.12207, -0.198364, 0, 0
140291133, 0.113511, 0.048501, 0.190518, 0.701982, -0.198157, 8.13667, -6.02789, 0.320435, -0.198364, -0.106812, 0, 0
140291143, 0.112588, 0.0489111, 0.191748, 0.700239, -0.181032, 8.12933, -6.14532, -0.656128, 0.305176, 0.244141, 0, 0
140291153, 0.113921, 0.0456299, 0.190518, 0.702393, -0.0587132, 7.88225, -6.58322, -0.167847, 0.183105, -0.137329, 0, 0
140291173, 0.111357, 0.0494238, 0.190518, 0.700752, -0.215282, 8.12444, -6.17467, -0.686645, 0.0305176, 0.213623, 0, 0
140291183, 0.111357, 0.0464502, 0.190518, 0.700752, -0.0905162, 7.98989, -6.50494, -0.961304, 0.0457764, -0.0915527, 0, 0
140291193, 0.112178, 0.0489111, 0.192671, 0.701162, -0.151676, 7.97521, -6.21871, 0.854492, -0.289917, -0.244141, 0, 0
140291203, 0.115151, 0.0464502, 0.191338, 0.704443, -0.220175, 8.00212, -6.12819, 0.0762939, 0.0762939, 0.183105, 0, 0
140291213, 0.112998, 0.049834, 0.193081, 0.701572, -0.124766, 7.96298, -6.61013, -0.610352, 0.183105, 0.0762939, 0, 0
140291223, 0.114331, 0.0502441, 0.192158, 0.700239, -0.105195, 8.04616, -6.40463, 0.183105, -0.244141, -0.244141, 0, 0
140291233, 0.114331, 0.0502441, 0.192158, 0.700239, -0.215282, 8.16848, -5.96184, 0.0152588, -0.152588, 0.0457764, 0, 0
140291243, 0.111768, 0.048501, 0.193081, 0.701982, -0.139444, 8.01925, -6.32635, -0.808716, 0.198364, 0.137329, 0, 0
140291263, 0.113511, 0.0468603, 0.190518, 0.701982, -0.212835, 8.00946, -6.18446, 0.427246, -0.213623, 0.0457764, 0, 0
140291273, 0.115151, 0.0468603, 0.190928, 0.702803, -0.161461, 8.09753, -6.26764, -1.14441, 0.213623, 0.167847, 0, 0
140291283, 0.115151, 0.0468603, 0.190928, 0.702803, -0.0807307, 7.93852, -6.45845, -0.167847, 0, -0.259399, 0, 0
140291293, 0.110947, 0.0476807, 0.190107, 0.702803, -0.198157, 7.97277, -6.0866, 0.854492, -0.152588, -0.0305176, 0, 0
140291303, 0.115562, 0.0472705, 0.190107, 0.701162, -0.212835, 8.01435, -6.27987, -0.289917, 0.167847, 0.244141, 0, 0
140291313, 0.113511, 0.0489111, 0.192671, 0.704443, -0.0905162, 7.94586, -6.63215, -0.457764, 0.137329, -0.137329, 0, 0
140291323, 0.111768, 0.0468603, 0.190518, 0.703213, -0.163908, 8.07551, -6.18691, 0.305176, -0.320435, -0.137329, 0, 0
140291343, 0.114331, 0.0468603, 0.190928, 0.702803, -0.0929626, 7.96298, -6.53185, -0.564575, 0.213623, -0.0762939, 0, 0
140291353, 0.112178, 0.0518848, 0.193491, 0.701982, -0.122319, 7.86757, -6.38996, 0.808716, -0.259399, -0.167847, 0, 0
140291363, 0.114741, 0.049834, 0.190928, 0.700752, -0.239746, 8.08041, -6.1551, -0.137329, -0.106812, 0.228882, 0, 0
140291373, 0.112998, 0.0468603, 0.191338, 0.701982, -0.122319, 8.06573, -6.43154, -1.26648, 0.152588, -0.0305176, 0, 0
140291383, 0.114331, 0.0468603, 0.190928, 0.701162, -0.110087, 7.94341, -6.32146, 0.534058, -0.198364, -0.274658, 0, 0
140291393, 0.114331, 0.0480908, 0.190928, 0.701162, -0.217728, 8.0168, -6.07193, 0.549316, -0.106812, 0.12207, 0, 0
140291403, 0.113511, 0.0476807, 0.188877, 0.703213, -0.159015, 7.99968, -6.46579, -0.518799, 0.228882, 0.183105, 0, 0
140291413, 0.112178, 0.04604, 0.191748, 0.702393, -0.105195, 7.96053, -6.54163, -0.106812, -0.0610352, -0.228882, 0, 0
140291433, 0.113511, 0.0480908, 0.190928, 0.701162, -0.17614, 8.09509, -6.20403, -0.717163, 0.12207, 0.167847, 0, 0
140291443, 0.113511, 0.0480908, 0.190928, 0.701162, -0.0831771, 7.86757, -6.57099, -0.0305176, 0.0915527, -0.106812, 0, 0
140291453, 0.112588, 0.0464502, 0.190518, 0.700239, -0.163908, 7.92628, -6.27008, 0.88501, -0.259399, -0.0152588, 0, 0
140291463, 0.112998, 0.0502441, 0.190928, 0.702393, -0.185925, 8.12689, -6.20158, -0.778198, 0.0152588, 0.244141, 0, 0
140291473, 0.110947, 0.048501, 0.191748, 0.701982, -0.0782843, 7.9801, -6.51472, -0.762939, 0.0610352, -0.167847, 0, 0
140291483, 0.113921, 0.0472705, 0.192158, 0.701572, -0.134551, 7.95319, -6.15266, 0.869751, -0.259399, -0.213623, 0, 0
140291493, 0.113921, 0.0472705, 0.192158, 0.701572, -0.217728, 8.00946, -6.16, 0.0610352, 0, 0.289917, 0, 0
140291513, 0.112588, 0.0494238, 0.190518, 0.702803, -0.129658, 7.99723, -6.35815, 0.228882, -0.228882, -0.259399, 0, 0
140291523, 0.113511, 0.0468603, 0.190518, 0.700752, -0.225067, 8.14646, -5.97652, 0.0457764, 0, 0.106812, 0, 0
140291533, 0.112998, 0.0472705, 0.190107, 0.701982, -0.132105, 8.03148, -6.38017, -0.793457, 0.274658, 0.137329, 0, 0
140291543, 0.114331, 0.0472705, 0.190928, 0.701982, -0.095409, 7.87491, -6.48047, 0.442505, -0.152588, -0.167847, 0, 0
140291553, 0.114331, 0.0468603, 0.190928, 0.703213, -0.222621, 8.02659, -6.16733, 0.38147, -0.137329, 0.0457764, 0, 0
140291563, 0.115972, 0.0494238, 0.191338, 0.702803, -0.151676, 8.12199, -6.2921, -1.23596, 0.259399, 0.213623, 0, 0
140291573, 0.112998, 0.0456299, 0.193901, 0.701572, -0.0782843, 7.96787, -6.44867, -0.0152588, -0.152588, -0.198364, 0, 0
140291583, 0.112588, 0.048501, 0.193491, 0.702803, -0.163908, 7.98255, -6.06948, 0.808716, -0.152588, 0, 0, 0
140291603, 0.112588, 0.0472705, 0.193491, 0.704443, -0.0978554, 7.93852, -6.64927, -0.427246, -0.0610352, -0.106812, 0, 0
140291613, 0.110537, 0.0472705, 0.192158, 0.701572, -0.168801, 8.03393, -6.13798, 0.411987, -0.305176, -0.12207, 0, 0
140291623, 0.112998, 0.0489111, 0.190518, 0.699419, -0.215282, 8.14891, -6.06214, -0.427246, 0.0915527, 0.228882, 0, 0
140291633, 0.112178, 0.0468603, 0.193081, 0.702393, -0.0782843, 7.94341, -6.53674, -0.396728, 0.244141, -0.0305176, 0, 0
140291643, 0.114741, 0.0468603, 0.190107, 0.703213, -0.136998, 7.8847, -6.39974, 0.900268, -0.213623, -0.183105, 0, 0
140291653, 0.114741, 0.0464502, 0.190107, 0.703213, -0.227514, 8.12933, -6.14042, -0.305176, 0.0610352, 0.137329, 0, 0
140291663, 0.110947, 0.0476807, 0.190928, 0.701162, -0.107641, 8.06573, -6.45845, -1.17493, 0.12207, 0.0610352, 0, 0
140291683, 0.112178, 0.0456299, 0.190107, 0.699419, -0.225067, 8.0168, -6.07926, 0.50354, -0.0305176, 0.137329, 0, 0
140291693, 0.112588, 0.0480908, 0.190928, 0.702393, -0.156569, 7.99478, -6.48292, -0.50354, 0.289917, 0.183105, 0, 0
140291703, 0.112588, 0.0480908, 0.190928, 0.702393, -0.105195, 7.9801, -6.55386, -0.12207, -0.137329, -0.183105, 0, 0
140291713, 0.112998, 0.0452197, 0.193491, 0.700239, -0.215282, 8.12199, -5.97162, 0.320435, -0.183105, -0.0152588, 0, 0
140291723, 0.113511, 0.0464502, 0.190107, 0.702803, -0.185925, 8.10732, -6.22849, -0.793457, 0.305176, 0.152588, 0, 0
140291733, 0.113921, 0.0468603, 0.190107, 0.702393, -0.063606, 7.86757, -6.55876, 0.0152588, 0.0610352, -0.167847, 0, 0
140291743, 0.112998, 0.0489111, 0.191748, 0.702393, -0.178586, 7.93607, -6.24807, 0.839233, -0.289917, -0.0610352, 0, 0
140291753, 0.115151, 0.0489111, 0.191748, 0.702393, -0.188372, 8.13667, -6.21382, -0.976562, 0.0457764, 0.274658, 0, 0
140291773, 0.111357, 0.048501, 0.191338, 0.701572, -0.139444, 7.94586, -6.16733, 0.900268, -0.289917, -0.198364, 0, 0
140291783, 0.110947, 0.0472705, 0.191748, 0.702803, -0.215282, 7.99968, -6.21871, 0.0610352, 0.0762939, 0.228882, 0, 0
140291793, 0.112178, 0.0472705, 0.189287, 0.703623, -0.122319, 7.94586, -6.61258, -0.488281, 0.228882, 0.0152588, 0, 0
140291803, 0.115151, 0.0472705, 0.193901, 0.703213, -0.134551, 8.03148, -6.33613, 0.244141, -0.396728, -0.152588, 0, 0
140291813, 0.115151, 0.048501, 0.193901, 0.703213, -0.227514, 8.15624, -5.97896, -0.0610352, -0.0305176, 0.0762939, 0, 0
140291823, 0.111768, 0.0472705, 0.190928, 0.701572, -0.117426, 8.00212, -6.40708, -0.869751, 0.274658, 0.0762939, 0, 0
140291833, 0.113921, 0.0472705, 0.190518, 0.704443, -0.0758379, 7.88959, -6.4927, 0.671387, -0.106812, -0.183105, 0, 0
140291853, 0.112588, 0.0480908, 0.192671, 0.702803, -0.127212, 8.10487, -6.30678, -1.26648, 0.12207, 0.12207, 0, 0
140291863, 0.112588, 0.0468603, 0.192671, 0.702803, -0.0538205, 7.98744, -6.43154, 0, -0.0610352, -0.335693, 0, 0
140291873, 0.112178, 0.0476807, 0.193901, 0.704443, -0.195711, 7.98744, -6.05969, 0.640869, -0.137329, 0, 0, 0
140291883, 0.113511, 0.049834, 0.190928, 0.704443, -0.183479, 8.00946, -6.38017, -0.305176, 0.228882, 0.259399, 0, 0
140291893, 0.113921, 0.0468603, 0.192671, 0.702393, -0.0978554, 7.93362, -6.60524, -0.396728, 0.106812, -0.183105, 0, 0
